排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
82,A60分拣,C,28.8,6.5,58.1,9.0,180,89,0,91,49.4%,0.0%,50.6%,1.45,0,5,5,6,11,58.2%,A68分拣,5,A9分拣,24379.0,13670.0,38048.0,180,2.29%,分拣机4,70,30000,末端型
83,A52分拣,C,28.6,5.3,60.8,7.3,176,85,0,91,48.3%,0.0%,51.7%,1.35,0,4,5,2,7,76.9%,A5分拣,1,A6分拣,37646.0,7721.0,45367.0,176,2.24%,分拣机4,92,30000,末端型
84,A29分拣,C,28.4,6.1,57.4,8.5,177,86,0,91,48.6%,0.0%,51.4%,1.36,0,5,4,6,10,51.6%,A76分拣,4,A11分拣,28559.0,7711.0,36270.0,177,2.26%,分拣机4,78,30000,末端型
85,A30分拣,C,27.0,5.0,55.0,6.9,175,84,0,91,48.0%,0.0%,52.0%,1.35,0,4,4,2,6,81.3%,A18分拣,2,A18分拣,22990.0,8130.0,31119.0,175,2.23%,分拣机4,63,30000,末端型
86,A8分拣,C,25.8,5.3,49.4,7.3,176,85,0,91,48.3%,0.0%,51.7%,1.36,0,5,4,3,7,63.7%,A76分拣,3,A11分拣,16605.0,4883.0,21488.0,176,2.24%,分拣机4,40,30000,末端型
87,A39分拣,C,25.7,5.3,49.2,7.3,175,84,0,91,48.0%,0.0%,52.0%,1.33,0,4,5,2,7,71.4%,A18分拣,2,A18分拣,15836.0,5444.0,21280.0,175,2.23%,分拣机6,63,30000,末端型
88,A58分拣,C,24.9,4.5,48.3,6.1,176,85,0,91,48.3%,0.0%,51.7%,1.35,0,4,3,1,4,68.1%,A5分拣,1,A6分拣,14242.0,5813.0,20055.0,176,2.24%,分拣机4,39,30000,末端型
89,A25分拣,C,24.6,5.1,45.3,6.9,177,86,0,91,48.6%,0.0%,51.4%,1.32,0,4,4,2,6,49.5%,A2分拣,2,A31分拣,13358.0,3073.0,16431.0,177,2.26%,分拣机4,29,20000,末端型
90,A20分拣,C,23.5,4.0,44.1,5.3,175,84,0,91,48.0%,0.0%,52.0%,1.49,0,5,1,1,2,100.0%,A5分拣,1,A6分拣,11278.0,3934.0,15212.0,175,2.23%,分拣机4,38,30000,末端型
91,A33分拣,C,21.6,7.4,26.5,10.4,175,84,0,91,48.0%,0.0%,52.0%,1.33,0,4,7,8,15,37.4%,A46分拣,7,A24分拣,3629.0,1189.0,4817.0,175,2.23%,分拣机4,133,45000,末端型
92,南阳分拣中心,D,13.2,30.1,10.6,0.0,7,0,7,0,0.0%,100.0%,0.0%,2.29,2,3,1,1,2,100.0%,A64分拣,1,A44分拣,0.0,0.0,1696.0,7,0.09%,未知,0,0,枢纽型
93,A89分拣,D,11.9,2.7,0.0,3.7,87,87,0,0,100.0%,0.0%,0.0%,0.0,0,0,0,5,5,0.0%,-,5,A82分拣,0.0,848.0,848.0,87,1.11%,未知,0,0,始发型
